script,title,link
中国外交部.py,习近平致电祝贺穆塞韦尼当选连任乌干达总统,https://www.fmprc.gov.cn/zyxw/202601/t20260124_11844895.shtml
中国外交部.py,习近平致电祝贺穆塞韦尼当选连任乌干达总统,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202601/t20260124_11844895.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,"Video message by Foreign Minister MOTEGI, for the 32nd Japan-U.S. Security Seminar",https://www.mofa.go.jp/press/release/pressite_000001_02021.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,,
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
